"index","offer_id","title","field","catalog_value","source_value","result","url"
"150","SFDP2-055-060-51 new","Автоматическая нагнетательная помпа SeaFlo (5-камерная) TTI, 20 л/мин, 24 В","weight","2.46","2460 g","confirmed_mismatch","https://moreman.ru/product/avtomaticheskaya_nagnetatelnaya_pompa_seaflo_5_kamernaya_tti_20_l_min_24_v-sku-110883/"
"153","19140","Замок навесной, нерж сталь,  40 мм","source_weight_text","90 г","not published","unverified_placeholder","https://vodnik.ru/zamok-navesnoy-nerzhaveyuschaya-stal-40-mm-00142078.html"
"154","4209","Полуклюз носовой","source_weight_text","90 г","not published","unverified_placeholder","https://vodnik.ru/blok-shvartovyy-napravlyayuschiy-iz-nerzhaveyuschey-stali-00152452.html"
"171","971","Кранец ""Афродита""","dimensions","400x250x200","840x250x220 mm","confirmed_mismatch","https://moreman.ru/product/kranets_afrodita-sku-109996/"
"239","73012","Рым якорный","weight","0.04","40 g","confirmed_mismatch","https://moreman.ru/product/rym_yakornyy_-sku-116892/"
"292","030201T","Поручень диам 25мм, 250 мм.","source_weight_text","90 г","not published","unverified_placeholder","https://vodnik.ru/poruchen-d25mm-250-mm-11225725.html"
"297","A6C1R12VZS","Кнопка с фиксацией 12 В 3А, OFF-ON 5P, D16 красная подсветка","source_weight_text","90 г","not published","unverified_placeholder","https://vodnik.ru/knopka-s-fiksaciey-12-v-3a-off-on-5p-d16-krasnaya-podsvetka-00180522.html"
"298","AD9-1011/2013/4010","Панель с USB-разъемом 5в 2.1А, прикуривателем и вольтметром","dimensions","150x150x150","150x83x47 mm","confirmed_mismatch","https://vodnik.ru/panel-s-usb-razemom-5v-2-1a-prikurivatelem-i-voltmetrom-00178317.html"
"298","AD9-1011/2013/4010","Панель с USB-разъемом 5в 2.1А, прикуривателем и вольтметром","source_weight_text","90 г","not published","unverified_placeholder","https://vodnik.ru/panel-s-usb-razemom-5v-2-1a-prikurivatelem-i-voltmetrom-00178317.html"
"299","AS1011BR","Разъем прикуривателя врезной, светодиодный, красный","source_weight_text","90 г","not published","unverified_placeholder","https://vodnik.ru/razem-prikurivatelya-vreznoy-svetodiodnyy-krasnyy-00183754.html"
"300","00155-LW","Светильник каютный светодиодный","source_weight_text","90 г","not published","unverified_placeholder","https://vodnik.ru/svetilnik-dlya-podsvetki-palub-i-trapov-svetodiodnyy-12-v-3-vt-chernyy-00177138.html"
"301","13500-02","решетка воздухозаборника","source_weight_text","90 г","not published","unverified_placeholder","https://vodnik.ru/reshetka-vozduhozabornika-00183757.html"
"302","AES121123A","Выключатель массы ""ON-OFF"" (1 АКБ) 310А","dimensions","160x160x160","160x160x70 mm","confirmed_mismatch","https://vodnik.ru/vyklyuchatel-massy-2-polozheniya-310a-12-36-v-00117741.html"
"302","AES121123A","Выключатель массы ""ON-OFF"" (1 АКБ) 310А","source_weight_text","90 г","not published","unverified_placeholder","https://vodnik.ru/vyklyuchatel-massy-2-polozheniya-310a-12-36-v-00117741.html"
"303","AESPA2","Панель центральная для групповой установки переключателей AES11185Х","source_weight_text","90 г","not published","unverified_placeholder","https://vodnik.ru/panel-centralnaya-dlya-gruppovoy-ustanovki-pereklyuchateley-aes11185h-00139290.html"
"304","AES111882P","Переключатель двухпозиц. ON-OFF 12В/20А 4P","source_weight_text","90 г","not published","unverified_placeholder","https://vodnik.ru/pereklyuchatel-dvuhpozicionnyy-on-off-12-v-20a-4r-00117636.html"
"305","AES111851AM","Переключатель двухпозиционный (ON)-ON 12В/16А 3Р без фиксации 1 положения","source_weight_text","90 г","not published","unverified_placeholder","https://vodnik.ru/pereklyuchatel-dvuhpozicionnyy-on-on-12-v-16a-3r-bez-fiksacii-1-polozheniya-00117562.html"
"306","AES111852AM","Переключатель двухпозиционный (ON)-ON 12В/16А 6Р без фиксации 1 положения","source_weight_text","90 г","not published","unverified_placeholder","https://vodnik.ru/pereklyuchatel-dvuhpozicionnyy-on-on-12-v-16a-6r-bez-fiksacii-1-polozheniya-00117577.html"
"307","AES111881PAM","Переключатель двухпозиционный (ON)-ON 12В/20А 3Р без фиксации 1 положения","source_weight_text","90 г","not published","unverified_placeholder","https://vodnik.ru/pereklyuchatel-dvuhpozicionnyy-on-on-12-v-20a-3r-bez-fiksacii-1-polozheniya-00117630.html"
"308","AES111882PAM","Переключатель двухпозиционный (ON)-ON 12В/20А 6Р без фиксации 1 положения","source_weight_text","90 г","not published","unverified_placeholder","https://vodnik.ru/pereklyuchatel-dvuhpozicionnyy-on-on-12-v-20a-6r-bez-fiksacii-1-polozheniya-00117639.html"
"309","AES111851","Переключатель двухпозиционный ON-OFF 12В/16А 2Р","source_weight_text","90 г","not published","unverified_placeholder","https://vodnik.ru/pereklyuchatel-dvuhpozicionnyy-on-off-12-v-16a-2r-00117559.html"
"310","AES111852","Переключатель двухпозиционный ON-OFF 12В/16А 4Р","source_weight_text","90 г","not published","unverified_placeholder","https://vodnik.ru/pereklyuchatel-dvuhpozicionnyy-on-off-12-v-16a-4r-00117572.html"
"311","AES111854","Переключатель двухпозиционный ON-OFF 12В/16А 4Р с подсветкой","source_weight_text","90 г","not published","unverified_placeholder","https://vodnik.ru/pereklyuchatel-dvuhpozicionnyy-on-off-12-v-16a-4r-s-podsvetkoy-00117575.html"
"312","AES111851A","Переключатель двухпозиционный ON-ON 12В/16А 3Р","source_weight_text","90 г","not published","unverified_placeholder","https://vodnik.ru/pereklyuchatel-dvuhpozicionnyy-on-on-12-v-16a-3r-00117561.html"
