"index","offer_id","title","dimensions","dimension_facts","title_dimensions","weight","weight_source","page_status","url"
"1","SP-400EP","Электрический насос для перекачки топлива, 10 л/мин","","","","","","checked","https://moreman.ru/product/elektricheskiy_nasos_dlya_perekachki_topliva_10_l_min-sku-117711/"
"2","008-04755","Утка пластиковая, 205 мм","","","","","","checked","https://moreman.ru/product/utka_plastikovaya_205_mm-sku-118530/"
"3","1060803","Багор ""Мореман"", 180 см","25 мм.Длина : 180 см.Материал рукоятки : алюминий.Материал наконечника и ручки : нейлон.Страна-производитель : Китай.ПРОИЗВОДИТЕЛЬ""Мореман""СФЕРА ПРИМЕНЕНИЯБагор","Диаметр: 25 мм.Длина : 180 см.Материал рукоятки : алюминий.Материал наконечника и ручки : нейлон.Страна-производитель : Китай.ПРОИЗВОДИТЕЛЬ""Мореман""СФЕРА ПРИМЕНЕНИЯБагор","","","","checked","https://moreman.ru/product/bagor_quot_moreman_quot_180_sm-sku-111921/"
"4","1060804","Багор ""Мореман"", 210 см","25 мм.Длина : 210 см.Материал рукоятки : алюминий.Материал наконечника и ручки : нейлон.Страна-производитель : Китай.ПРОИЗВОДИТЕЛЬ""Мореман""СФЕРА ПРИМЕНЕНИЯБагор","Диаметр: 25 мм.Длина : 210 см.Материал рукоятки : алюминий.Материал наконечника и ручки : нейлон.Страна-производитель : Китай.ПРОИЗВОДИТЕЛЬ""Мореман""СФЕРА ПРИМЕНЕНИЯБагор","","","","checked","https://moreman.ru/product/bagor_quot_moreman_quot_210_sm-sku-111700/"
"5","1041","Буй «Solid head», 35х48 см, белый","- Диаметр : 35 см- Высота : 48 см- Диаметр рымa : 27 мм- Цвет : Белый- Производитель : «Majoni», ГолландияПрименение:- Безопасность на воде: Белый цвет делает б","Размеры: - Диаметр : 35 см- Высота : 48 см- Диаметр рымa : 27 мм- Цвет : Белый- Производитель : «Majoni», ГолландияПрименение:- Безопасность на воде: Белый цвет делает б","","","","checked","https://moreman.ru/product/buy_solid_head_35kh48_sm_belyy-sku-116447/"
"6","7750","Держатель удилища с креплением на плоскость, ""Мореман""","31 см","длина: 31 см","","","","checked","https://moreman.ru/product/derzhatel_udilishcha_s_krepleniem_na_ploskost_quot_moreman_quot-sku-111511/"
"7","511","Клеммы аккумуляторные ""Мореман"", Китай","","","","","","checked","https://moreman.ru/product/klemmy_akkumulyatornye_quot_moreman_quot_kitay-sku-118535/"
"8","3364","Кронштейн крепления трапа, ""Мореман""","","","","","","checked","https://moreman.ru/product/kronshteyn_krepleniya_trapa_quot_moreman_quot-sku-112089/"
"9","2233","Основание для стойки столешницы ""Мореман"", врезное","68 мм.Производитель: КитайПРОИЗВОДИТЕЛЬ""Мореман""ТИПоснования для стоек","диаметр: 68 мм.Производитель: КитайПРОИЗВОДИТЕЛЬ""Мореман""ТИПоснования для стоек","","","","checked","https://moreman.ru/product/osnovanie_dlya_stoyki_stoleshnitsy_quot_moreman_quot_vreznoe-sku-111109/"
"10","2232","Основание для стойки столешницы ""Мореман"", накладное","","","","","","checked","https://moreman.ru/product/osnovanie_dlya_stoyki_stoleshnitsy_quot_moreman_quot_nakladnoe-sku-111302/"
"11","50110","Звено цепи соединительное 10 мм, оцинкованное","","","","50 г","main_product_data_offer","checked","https://vodnik.ru/zveno-cepi-soedinitelnoe-10-mm-ocinkovannoe-00089962.html"
"12","4508-1","Автоматическая трюмная помпа «Sahara 750», 24 В","102 мм | 140 мм","Высота: 102 мм | Длина: 140 мм","","","","checked","https://moreman.ru/product/avtomaticheskaya_tryumnaya_pompa_sahara_750_24_v-sku-115363/"
"13","SE2011","Бак топливный переносной без указателя уровня в комплекте с переходником ""елочка"", 24 л","","","","2190 г","main_product_data_offer","checked","https://vodnik.ru/bak-toplivnyy-perenosnoy-bez-ukazatelya-urovnya-v-komplekte-s-perehodnikom-elochka-24-l-00087694.html"
"14","SE2012","Бак топливный переносной без указателя уровня в комплекте с переходником ""елочка"", 29 л","","","","2680 г","main_product_data_offer","checked","https://vodnik.ru/bak-toplivnyy-perenosnoy-bez-ukazatelya-urovnya-v-komplekte-s-perehodnikom-elochka-29-l-00087696.html"
"15","6842","Люк пластиковый 280х375 мм","","","280х375 мм","","","checked","https://moreman.ru/product/lyuk_plastikovyy_280kh375_mm-sku-118083/"
"16","6855","Люк пластиковый 360х600","","","","","","checked","https://moreman.ru/product/lyuk_plastikovyy_360kh600-sku-114284/"
"17","6845","Люк пластиковый 380х380 мм","","","380х380 мм","","","checked","https://moreman.ru/product/lyuk_plastikovyy_380kh380_mm-sku-123724/"
"18","6853","Люк пластиковый 460х510, с замком","","","","","","checked","https://moreman.ru/product/lyuk_plastikovyy_460kh510_s_zamkom-sku-114958/"
