offer_id;code;name;full_name;brand;category_name;description_category_id;type_id;local_category_1;local_category_2;metrazh_flag;description;price;old_price;stock;currency_code;vat;tnved;weight;height;width;depth;dimension_unit;weight_unit;primary_image;image_local_path;image_sha256;image_visual_hash;external_url;group_name
AESPA2;049-0000373;Панель центральная для групповой установки переключателей AES11185Х;Панель центральная для групповой установки переключателей AES11185Х;AES;Спорт и отдых / Лодки и лодочные моторы;17029003;94373;Электрооборудование;Выключатели и панели;не метражный;Фиксирующая центральная рамка (панель). Используется для закрепления на приборной панели клавишных переключателей. Придает эстетичный и законченный вид при групповой установке переключателей.;284;210;5;RUB;0;8536508008;0.25;60;100;140;mm;kg;images/AESPA2/01_7ae90967c7.jpg;C:\Users\User\Desktop\общая прога для парсинга\ozon_demo_git_ready\images\AESPA2\01_7ae90967c7.jpg;02c4a8e39722dc4c3293677d03465621655814eec56d5514c023280fb18759e1;eb0181818181c0f3;https://vodnik.ru/panel-centralnaya-dlya-gruppovoy-ustanovki-pereklyuchateley-aes11185h-00139290.html;1000 размеров
AES111882P;049-0000012;Переключатель двухпозиц. ON-OFF 12В/20А 4P;Переключатель двухпозиц. ON-OFF 12В/20А 4P;AES;Строительство и ремонт / Электроустановочные изделия / Переключатель;17028654;970853968;Электрооборудование;Выключатели и панели;не метражный;Клавишный фиксируемый переключатель на четыре контакта. Для удобства монтажа на приборной панели используйте фиксирующие рамки.;619;458;17;RUB;0;8536508008;0.25;60;100;140;mm;kg;images/AES111882P/01_eacd3dc835.jpg;C:\Users\User\Desktop\общая прога для парсинга\ozon_demo_git_ready\images\AES111882P\01_eacd3dc835.jpg;288e4a91cdbc8c70c88f8363bf1070cbccf86476b49cc5ab53ee9c652ecf0ca2;f18080808081f1fb;https://vodnik.ru/pereklyuchatel-dvuhpozicionnyy-on-off-12-v-20a-4r-00117636.html;1000 размеров
AES111851AM;049-0000292;Переключатель двухпозиционный (ON)-ON 12В/16А 3Р без фиксации 1 положения;Переключатель двухпозиционный (ON)-ON 12В/16А 3Р без фиксации 1 положения;AES;Строительство и ремонт / Электроустановочные изделия / Переключатель;17028654;970853968;Электрооборудование;Выключатели и панели;не метражный;Клавишный переключатель с фиксацией одного положения на три контакта. Для удобства монтажа на приборной панели используйте фиксирующие рамки.;702;519;3;RUB;0;8536508008;0.25;60;100;140;mm;kg;images/AES111851AM/01_4ecf400e3e.jpg;C:\Users\User\Desktop\общая прога для парсинга\ozon_demo_git_ready\images\AES111851AM\01_4ecf400e3e.jpg;195b8d432c2c63503ef7bb9858f3fdb934e63e4bf696355e3a04a15e658d1b44;f18100008080e1fb;https://vodnik.ru/pereklyuchatel-dvuhpozicionnyy-on-on-12-v-16a-3r-bez-fiksacii-1-polozheniya-00117562.html;1000 размеров
AES111852AM;-56;Переключатель двухпозиционный (ON)-ON 12В/16А 6Р без фиксации 1 положения;Переключатель двухпозиционный (ON)-ON 12В/16А 6Р без фиксации 1 положения;AES;Строительство и ремонт / Электроустановочные изделия / Переключатель;17028654;970853968;Электрооборудование;Выключатели и панели;не метражный;Клавишный переключатель с фиксацией одного положения на шесть контактов. Для удобства монтажа на приборной панели используйте фиксирующие рамки.;814;602;4;RUB;0;8536508008;0.25;60;100;140;mm;kg;images/AES111852AM/01_7374aed5e1.jpg;C:\Users\User\Desktop\общая прога для парсинга\ozon_demo_git_ready\images\AES111852AM\01_7374aed5e1.jpg;78f870813b9d06a26fd3c4221cf4c22f51b010ea911e441c6b448939536f42ed;fdc0808080c0e1fb;https://vodnik.ru/pereklyuchatel-dvuhpozicionnyy-on-on-12-v-16a-6r-bez-fiksacii-1-polozheniya-00117577.html;1000 размеров
AES111881PAM;-57;Переключатель двухпозиционный (ON)-ON 12В/20А 3Р без фиксации 1 положения;Переключатель двухпозиционный (ON)-ON 12В/20А 3Р без фиксации 1 положения;AES;Строительство и ремонт / Электроустановочные изделия / Переключатель;17028654;970853968;Электрооборудование;Выключатели и панели;не метражный;Клавишный переключатель с фиксацией одного положения на три контакта. Для удобства монтажа на приборной панели используйте фиксирующие рамки.;761;563;3;RUB;0;8536508008;0.25;60;100;140;mm;kg;images/AES111881PAM/01_bbfc13630b.jpg;C:\Users\User\Desktop\общая прога для парсинга\ozon_demo_git_ready\images\AES111881PAM\01_bbfc13630b.jpg;9f4e5842bf9c06a15794fa62b6d684c90eaff3f6f591ce13f3e0c41d6a52e261;fd8100808081f1fb;https://vodnik.ru/pereklyuchatel-dvuhpozicionnyy-on-on-12-v-20a-3r-bez-fiksacii-1-polozheniya-00117630.html;1000 размеров
AES111882PAM;-59;Переключатель двухпозиционный (ON)-ON 12В/20А 6Р без фиксации 1 положения;Переключатель двухпозиционный (ON)-ON 12В/20А 6Р без фиксации 1 положения;AES;Строительство и ремонт / Электроустановочные изделия / Переключатель;17028654;970853968;Электрооборудование;Выключатели и панели;не метражный;Клавишный переключатель с фиксацией одного положения на шесть контактов. Для удобства монтажа на приборной панели используйте фиксирующие рамки.;1073;794;2;RUB;0;8536508008;0.25;60;100;140;mm;kg;images/AES111882PAM/01_8897a55d51.jpg;C:\Users\User\Desktop\общая прога для парсинга\ozon_demo_git_ready\images\AES111882PAM\01_8897a55d51.jpg;8d678c7c49c2aa7c26c0ed13f0fdc004f30a8195548598fef24d814885da0a5b;f181808080c0f1fb;https://vodnik.ru/pereklyuchatel-dvuhpozicionnyy-on-on-12-v-20a-6r-bez-fiksacii-1-polozheniya-00117639.html;1000 размеров
AES111851;049-0002230;Переключатель двухпозиционный ON-OFF 12В/16А 2Р;Переключатель двухпозиционный ON-OFF 12В/16А 2Р;AES;Строительство и ремонт / Электроустановочные изделия / Переключатель;17028654;970853968;Электрооборудование;Выключатели и панели;не метражный;Клавишный фиксируемый переключатель на два контакта. Для удобства монтажа на приборной панели используйте фиксирующие рамки.;583;431;1;RUB;0;8536508008;0.25;60;100;140;mm;kg;images/AES111851/01_281f5f9c66.jpg;C:\Users\User\Desktop\общая прога для парсинга\ozon_demo_git_ready\images\AES111851\01_281f5f9c66.jpg;892ec69d88a50d6813576f90957b3899fcc5f4712b9a640baa69fdb8a73688fb;f38301818180e1fb;https://vodnik.ru/pereklyuchatel-dvuhpozicionnyy-on-off-12-v-16a-2r-00117559.html;1000 размеров
AES111852;049-0000379;Переключатель двухпозиционный ON-OFF 12В/16А 4Р;Переключатель двухпозиционный ON-OFF 12В/16А 4Р;AES;Строительство и ремонт / Электроустановочные изделия / Переключатель;17028654;970853968;Электрооборудование;Выключатели и панели;не метражный;Клавишный фиксируемый переключатель на четыре контакта. Для удобства монтажа на приборной панели используйте фиксирующие рамки.;687;508;5;RUB;0;8536508008;0.25;60;100;140;mm;kg;images/AES111852/01_5bd7a1ff78.jpg;C:\Users\User\Desktop\общая прога для парсинга\ozon_demo_git_ready\images\AES111852\01_5bd7a1ff78.jpg;1f117c65bc538416a429f5e4f6a08f94185cd969ee2af018e78c6e5aefd71168;f383818181c0e0fd;https://vodnik.ru/pereklyuchatel-dvuhpozicionnyy-on-off-12-v-16a-4r-00117572.html;1000 размеров
AES111854;049-0001061;Переключатель двухпозиционный ON-OFF 12В/16А 4Р с подсветкой;Переключатель двухпозиционный ON-OFF 12В/16А 4Р с подсветкой;AES;Строительство и ремонт / Электроустановочные изделия / Переключатель;17028654;970853968;Электрооборудование;Выключатели и панели;не метражный;Клавишный фиксируемый переключатель на четыре контакта. С индикацией работы. Для удобства монтажа на приборной панели используйте фиксирующие рамки.;946;700;1;RUB;0;8536508008;0.25;60;100;140;mm;kg;images/AES111854/01_2365cd3b61.jpg;C:\Users\User\Desktop\общая прога для парсинга\ozon_demo_git_ready\images\AES111854\01_2365cd3b61.jpg;3952c23087b929551b69ab938c64988d3ead0883e58f93cd9a38b8bbbdc5bb59;f381878380c0e0fd;https://vodnik.ru/pereklyuchatel-dvuhpozicionnyy-on-off-12-v-16a-4r-s-podsvetkoy-00117575.html;1000 размеров
AES111851A;-61;Переключатель двухпозиционный ON-ON 12В/16А 3Р;Переключатель двухпозиционный ON-ON 12В/16А 3Р;AES;Строительство и ремонт / Электроустановочные изделия / Переключатель;17028654;970853968;Электрооборудование;Выключатели и панели;не метражный;Клавишный фиксируемый переключатель на три контакта. Для удобства монтажа на приборной панели используйте фиксирующие рамки.;649;480;3;RUB;0;8536508008;0.25;60;100;140;mm;kg;images/AES111851A/01_b60d8fe60f.jpg;C:\Users\User\Desktop\общая прога для парсинга\ozon_demo_git_ready\images\AES111851A\01_b60d8fe60f.jpg;8b0c43763104074a67e716f252a027de8ce38eddbe0f7b732573880ba1cc9fc7;f78301018180e0fb;https://vodnik.ru/pereklyuchatel-dvuhpozicionnyy-on-on-12-v-16a-3r-00117561.html;1000 размеров
